ファイル名,説明文
24g356-傘-0001-01.jpg,黄色い小学生用の傘
24g356-傘-0001-02.jpg,黄色い小学生用の傘
24g356-傘-0002-01.jpg,透明のビニール傘
24g352-傘-0001-01.jpg,黒い傘
24g352-傘-0001-02.jpg,黒い傘
20t333-傘-0001-01.jpg,ゴルフで使うような大きい黒い傘
20t333-傘-0002-01.jpg,透明の傘。持ち手にマスキングテープ巻いている
20t303-傘-0002-01.jpg,ピンクの花柄の傘
20t303-傘-0003-01.jpg,透明のビニール傘。コンビニで売ってるような傘。
k22001-傘-0001-01.jpg,グレーと赤のチェックの傘
k22001-傘-0001-02.jpg,グレーと赤のチェックの傘
k22001-傘-0003-01.jpg,黒字に縁がベージュの傘
k22001-傘-0003-02.jpg,黒字に縁がベージュの傘
k22001-傘-0004-01.jpg,緑にピンクの花柄の折り畳み傘
k22001-傘-0005-01.jpg,ピンクの折り畳みの日傘
k22001-傘-0006-01.jpg,薄い黄色に白い柄のついた折り畳み傘
k22001-傘-0007-01.jpg,黒とベージュの折り畳みの日傘
C23078-傘-0001-01.jpg,黒色で縁が青色のMizunoの長傘、一般的な傘より大きい
C23078-傘-0001-02.jpg,黒色で縁が青色のMizunoの長傘、一般的な傘より大きい
C23078-傘-0002-01.jpg,内側が黒く、取っ手が金色の折り畳み傘
C23078-傘-0002-02.jpg,外側が白色と銀色のツートンカラーで構成されている取っ手が金色の折り畳み傘
C23078-傘-0002-03.jpg,外側が白色と銀色のツートンカラーで構成されている取っ手が金色の折り畳み傘
B23026-傘-0001-01.jpg,白い取っ手の傘、薄い青緑と紺色で、リボンと水玉の模様が入っている
B23026-傘-0002-01.jpg,黒い取っ手のビニール傘、目印にキーホルダーがついている
B23026-傘-0003-01.jpg,黒い傘、白い柄が入っている
B23014-傘-0001-01.jpg,青い傘、持ち手が茶色
B23014-傘-0001-02.jpg,青い傘でピンク、白、緑、赤の色も入っている持ち手が茶色
B23014-傘-0002-01.jpg,持ち手が黒のビニール傘
C23078-傘-0003-01.jpg,持ち手が茶色で、紺色の傘
C23078-傘-0004-01.jpg,持ち手が灰色で、白色の縁がついている黒い傘、白い猫のシルエットが何匹か描かれている
B23028-傘-0001-01.jpg,日除けの青い傘
B23048-傘-0001-01.jpg,水色　持ち手部分は透明
B23048-傘-0002-01.jpg,ごく普通のビニール傘　持ち手部分に青の水玉のマスキングテープ
B23022-傘-0001.jpg,青い傘、赤い傘、緑傘
B23022-傘-0003.jpg,折りたたみ傘
B23022-傘-005.jpg,ネビーと黄色の立てる傘
25G355-傘-0001-1.jpg,赤JOCOMOMOLA折りたたみ傘　黒字JOCOMOMOLA印字あり
25G355-傘-0001-2.jpg,赤JOCOMOMOLA折りたたみ傘　持ち手木製
25G355-傘-0001-3.jpg,赤JOCOMOMOLA折りたたみ傘　持ち手木製　傘袋入り
25G355-傘-0002-1.jpg,グレー折りたたみ日傘　青と白の花柄の刺繍入り
25G355-傘-0002-2.jpg,グレー折りたたみ日傘　青と白の花柄の刺繍入り　持ち手藤
25G355-傘-0002-3.jpg,グレー折りたたみ日傘　青と白の花柄の刺繍入り　持ち手藤　傘袋入り
25G355-傘-0003-1.jpg,ターコイズブルー色の傘　持ち手濃い茶色
25G355-傘-0003-2.jpg,ターコイズブルー色の傘　縁に鎖模様の刺繍
25G355-傘-0003-3.jpg,ターコイズブルー色の傘　親骨16本
25G355-傘-0004-1.jpg,白の日傘　青刺繍柄　持ち手竹製
25G355-傘-0004-2.jpg,白の日傘　青いラインの刺繍柄　
25G355-傘-0005-1.jpg,緑のチェック柄の傘　黒い持ち手
25G355-傘-0005-2.jpg,緑のチェック柄の傘　
25G355-傘-0006-1.jpg,黒い傘　大きい　持ち手黒
25G355-傘-0006-2.jpg,黒い傘　大きい　
25G355-傘-0007-1.jpg,黒い傘　持ち手グレー色　大きな花柄
25G355-傘-0007-2.jpg,黒い傘　持ち手グレー色　大きな花柄　親骨16本
25G355-傘-0007-3.jpg,黒い傘　大きな花柄
25G355-傘-0008-1.jpg,黒い傘　持ち手黒色　持ち手が歪んでいる
25G355-傘-0008-2.jpg,黒い傘
25G355-傘-0009-1.jpg,黒い傘　持ち手小さめ
25G355-傘-0009-2.jpg,黒い傘
25G355-傘-0010-1.jpg,黒い傘　細い
25G355-傘-0010-2.jpg,黒い傘
25G355-傘-0011-1.jpg,白い傘　縁に紺と紫　中央から先端に薄紫　持ち手クリアと金色
25G355-傘-0011-2.jpg,白い傘　縁に紺と紫　ランプとジーニーの絵　中央から先端に薄紫柄　
25G355-傘-0012-1.jpg,白いビニール傘　縁取り黒　持ち手黒
25G355-傘-0012-2.jpg,白いビニール傘　縁取り黒
25G355-傘-0013-1.jpg,白いビニール傘　縁取り黒　持ち手黒
25G355-傘-0013-2.jpg,白いビニール傘　縁取り黒　ミッキーマウスの絵柄
25G355-傘-0014-1.jpg,茶色の傘　持ち手黒
25G355-傘-0001-2.jpg,茶色の傘　
25G355-傘-0010-1.jpg,濃いピンク色の傘　縁白色　持ち手紫色
25G355-傘-0016-2.jpg,濃いピンク色の傘　縁白色　白と紺の小花柄
25G355-傘-0011-1.jpg,シルバー色日傘　持ち手黒
